epoch,train_loss,train_eval,test_loss,test_eval
1,0.18266524881124496,0.6917797207832337,0.04792284950613976,0.3642936849594116
2,0.06026024118065834,0.3945964956283569,0.04554757595062256,0.35550048828125
3,0.05580712229013443,0.382288738489151,0.04855533719062805,0.36409451961517336
4,0.05138837233185768,0.3677191948890686,0.04783167421817779,0.3621369385719299
5,0.05051092743873596,0.3663312816619873,0.047260531783103944,0.36041010975837706
6,0.04777271836996078,0.355333251953125,0.047502352595329284,0.36115176320075987
7,0.048025576025247575,0.355506751537323,0.04569824442267418,0.3557081604003906
8,0.046187049746513366,0.3497887015342712,0.047831284999847415,0.3623684751987457
9,0.046587360501289365,0.3526203465461731,0.04528067111968994,0.3542551207542419
10,0.04508903682231903,0.3463657093048096,0.044692618548870085,0.35278403520584106
