epoch,train_loss,train_eval,test_loss,test_eval
1,0.11300567090511322,0.5326290440559387,0.054074705839157106,0.3855464053153992
2,0.052092527747154234,0.37056596994400026,0.051542394757270814,0.3729088485240936
3,0.04894274443387985,0.35779246807098386,0.04889596670866012,0.3634349548816681
4,0.04500287055969238,0.34324580430984497,0.04922062322497368,0.36275180816650393
5,0.04292218774557113,0.33544737100601196,0.04969007939100265,0.3656986904144287
6,0.04231508448719978,0.332666802406311,0.050654231756925586,0.36803199887275695
7,0.04170700490474701,0.32997281193733213,0.05037904188036919,0.36684699296951295
8,0.040782594680786134,0.32723612785339357,0.05078849717974663,0.3685196137428284
9,0.03902947098016739,0.31905673623085024,0.052003278583288196,0.3728029775619507
10,0.03963057905435562,0.32103424310684203,0.05120267480611801,0.3692753839492798
