epoch,train_loss,train_eval,test_loss,test_eval
1,0.11612219929695129,0.5405082201957703,0.061014639735221865,0.4107887983322144
2,0.054229436069726945,0.37729326605796815,0.052696668803691865,0.3761957061290741
3,0.04869899079203606,0.3582238483428955,0.047580836713314055,0.3611690926551819
4,0.045389962047338486,0.3450388467311859,0.04918405532836914,0.3643017613887787
5,0.0433891499042511,0.33646480560302733,0.04845755860209465,0.36227317810058596
6,0.04267402589321136,0.33331860065460206,0.04853776633739471,0.36202440977096556
7,0.04248533993959427,0.33215909004211425,0.04922545537352562,0.3636877965927124
8,0.04092739835381508,0.3260507869720459,0.050187551975250246,0.36640825748443606
9,0.04092509984970093,0.3239713644981384,0.050292595624923705,0.36679551243782044
10,0.03936917871236801,0.3200080823898315,0.05059932827949524,0.36809678316116334
