epoch,train_loss,train_eval,test_loss,test_eval
1,0.1608123278617859,0.6384964656829833,0.0641963666677475,0.42013352155685424
2,0.07003718316555023,0.4269400691986084,0.059586715698242185,0.39756146907806394
3,0.05934424161911011,0.39005780816078184,0.04543754249811172,0.3547589612007141
4,0.0556850928068161,0.38080272793769837,0.047225620746612545,0.35947309017181395
5,0.05562593206763267,0.3811243271827698,0.04723786771297455,0.359114785194397
6,0.05132117986679077,0.36679548263549805,0.04638760089874268,0.35694326758384703
7,0.05210111305117607,0.36998423099517824,0.04745494604110718,0.35927836179733275
8,0.050573514699935915,0.36229203701019286,0.049143601357936856,0.3653119444847107
9,0.04830333948135376,0.35723050355911257,0.04707160398364067,0.35844356298446656
10,0.04926386326551437,0.3571479034423828,0.047559040486812594,0.3605077362060547
