epoch,train_loss,train_eval,test_loss,test_eval
1,0.12149110466241836,0.5547059571743012,0.06482797861099243,0.4242829656600952
2,0.05770699873566627,0.38844961166381836,0.05422051072120666,0.38099648952484133
3,0.048794048428535464,0.35911779165267943,0.04922233447432518,0.3652719783782959
4,0.04627708613872528,0.34695259809494017,0.04883340761065483,0.36334798216819764
5,0.04581477254629135,0.3459542942047119,0.04931019753217697,0.36456457018852234
6,0.043338994830846786,0.33717045426368714,0.05018003135919571,0.3669157004356384
7,0.04165045231580734,0.33000807285308836,0.05031612440943718,0.366357684135437
8,0.04153158903121948,0.3296756982803345,0.05121104001998902,0.36949811220169065
9,0.04052908033132553,0.3248952877521515,0.05186432287096977,0.3710751485824585
10,0.039948646426200864,0.32254806995391844,0.05144632562994957,0.370117609500885
