epoch,train_loss,train_eval,test_loss,test_eval
1,0.11148602396249771,0.5275645112991333,0.06582562446594238,0.425744823217392
2,0.05003027305006981,0.3630851912498474,0.05256029292941093,0.374946186542511
3,0.04338596701622009,0.33929344654083254,0.04856061428785324,0.36473072290420533
4,0.041050707697868345,0.32961976051330566,0.049026892632246015,0.3631917715072632
5,0.040324197709560396,0.3257575583457947,0.04873616859316826,0.3623623323440552
6,0.039304935932159425,0.3225451993942261,0.0494654968380928,0.36506051778793336
7,0.03880322366952896,0.318650496006012,0.05045055687427521,0.36761884212493895
8,0.037962909787893295,0.3150527846813202,0.05157247990369797,0.3707915198802948
9,0.037490766346454624,0.3119404911994934,0.051130218356847765,0.36902233839035037
10,0.0358037106692791,0.30588276505470274,0.05162501215934753,0.3707931053638458
