epoch,train_loss,train_eval,test_loss,test_eval
1,0.1604650366306305,0.6456477963924407,0.05077382177114487,0.3766253256797791
2,0.05946638822555542,0.3938664174079895,0.046856993436813356,0.35889837741851804
3,0.05326712191104889,0.375149130821228,0.049260834455490114,0.36593950510025025
4,0.05144121676683426,0.36832436323165896,0.05086759895086288,0.3708716630935669
5,0.04854156345129013,0.3585389709472656,0.04612110182642937,0.3564724612236023
6,0.04734324142336845,0.35570335388183594,0.04497907027602196,0.3534519195556641
7,0.047127076983451845,0.35484339714050295,0.04559315383434295,0.35536274313926697
8,0.04589446485042572,0.3489658689498901,0.04566251367330551,0.3556011390686035
9,0.04449083283543587,0.3455749368667603,0.047420656383037565,0.36098681449890135
10,0.04480306923389435,0.34634600043296815,0.045388224422931674,0.3547158181667328
