epoch,train_loss,train_eval,test_loss,test_eval
1,0.12920706555247308,0.5764520382881164,0.04627767726778984,0.35760199308395385
2,0.056391360014677046,0.38572546243667605,0.04450545221567154,0.3521599495410919
3,0.049573177695274355,0.36426021814346315,0.046012739539146426,0.3562629294395447
4,0.048260932266712187,0.3599438226222992,0.04646895319223404,0.3583304667472839
5,0.04694368422031402,0.3553140163421631,0.04559967190027237,0.3554079234600067
6,0.04821931004524231,0.3603879141807556,0.0449354413151741,0.35338218212127687
7,0.04675059765577316,0.3531910681724548,0.04538008019328117,0.3544949901103973
8,0.04537544310092926,0.3492225801944733,0.045902372002601624,0.3563089466094971
9,0.04427714079618454,0.34374035000801084,0.04628539651632309,0.35796022415161133
10,0.044596991986036304,0.34650511980056764,0.04522576808929443,0.3544852602481842
