epoch,train_loss,train_eval,test_loss,test_eval
1,0.14364482074975968,0.5998796725273132,0.05718356430530548,0.3986108148097992
2,0.05098820954561233,0.36697537302970884,0.04544110924005509,0.3549310111999512
3,0.04575423777103424,0.349500412940979,0.04612938106060028,0.35633925437927244
4,0.04476731657981872,0.3465926456451416,0.04543345376849175,0.3552634906768799
5,0.043835637271404264,0.3419023442268372,0.045015962570905683,0.3528906893730164
6,0.04323512896895409,0.3404666304588318,0.04547256872057915,0.35410492062568666
7,0.04197753325104713,0.3343762803077698,0.04595118567347527,0.35571871638298036
8,0.041853341162204745,0.33456767082214356,0.04642985686659813,0.35728855967521667
9,0.04133408233523369,0.3310145902633667,0.04734152376651764,0.3599104595184326
10,0.03946810081601143,0.32422019720077516,0.04843725889921188,0.3627262508869171
