epoch,train_loss,train_eval,test_loss,test_eval
1,0.1534780579805374,0.6204438066482544,0.057566411197185516,0.4010878276824951
2,0.06638101726770401,0.4138753414154053,0.05602089166641235,0.38600261926651
3,0.06166764885187149,0.3985422682762146,0.04848533257842064,0.36340258359909056
4,0.05561776429414749,0.3806688380241394,0.04521847248077392,0.3535709941387177
5,0.05460021793842316,0.3783441996574402,0.048007493019104,0.36236014842987063
6,0.051152812242507936,0.3666089987754822,0.04795513987541199,0.36260870695114134
7,0.051408210396766664,0.3667149090766907,0.047118157744407654,0.35904625415802
8,0.04744701251387596,0.3507501935958862,0.04918844938278198,0.3655884075164795
9,0.047158089876174925,0.3503843092918396,0.050884592533111575,0.3707267117500305
10,0.04716367468237877,0.3515845537185669,0.04838638633489609,0.36287416219711305
