epoch,train_loss,train_eval,test_loss,test_eval
1,0.11762192547321319,0.5421889042854309,0.06586271405220032,0.42778247117996215
2,0.052257618457078936,0.37030437469482425,0.052833078801631926,0.376091867685318
3,0.04392018243670463,0.34041611075401307,0.04998874068260193,0.3666023135185242
4,0.04075582414865494,0.32643484711647036,0.04936995327472687,0.3647651839256287
5,0.04058288961648941,0.3265780282020569,0.04957974418997765,0.364970566034317
6,0.03884511411190033,0.3193948698043823,0.051027166694402694,0.36954345226287844
7,0.03749680832028389,0.31388781309127806,0.051237441301345825,0.36930700182914733
8,0.037635780572891235,0.3149872374534607,0.051737874150276184,0.37177749156951906
9,0.03705359324812889,0.31131701469421386,0.05225015923380852,0.37247033953666686
10,0.03650180593132973,0.30943247556686404,0.0520589904487133,0.37258224964141845
