epoch,train_loss,train_eval,test_loss,test_eval
1,0.15109665483236312,0.6209545314311982,0.07775556266307831,0.46211714267730714
2,0.05768424153327942,0.3883263432979584,0.05083902105689049,0.3697992980480194
3,0.04769599080085754,0.3570261824131012,0.046269752979278565,0.35701789140701295
4,0.046862243115901946,0.3537656474113464,0.04524510949850082,0.3550861358642578
5,0.044373501539230344,0.3459121000766754,0.04531521439552307,0.35436956882476806
6,0.043442441821098327,0.3416479229927063,0.0449855637550354,0.35333876848220824
7,0.04290426194667816,0.3388717091083527,0.04522564694285393,0.35366408348083495
8,0.042318882197141645,0.33578068017959595,0.045786711424589156,0.3556389355659485
9,0.041732468605041505,0.3347198152542114,0.0459425251185894,0.35563905000686646
10,0.041298026740551,0.3324279737472534,0.04714839994907379,0.35864289045333864
