epoch,train_loss,train_eval,test_loss,test_eval
1,0.10874201238155365,0.5206708538532258,0.055370537489652635,0.39005292057991026
2,0.04783556833863258,0.35562036514282225,0.051089651584625244,0.37189910888671873
3,0.043838426917791364,0.3415345072746277,0.04885707303881645,0.3635320425033569
4,0.04073675662279129,0.3276025116443634,0.049514781683683395,0.3630753326416016
5,0.03941782280802727,0.323077449798584,0.049844324588775635,0.366587461233139
6,0.03864151835441589,0.31903972029685973,0.05119819328188896,0.37000540375709534
7,0.038125464618206026,0.3163780903816223,0.051101755797863004,0.3693244433403015
8,0.03688843950629234,0.3112829875946045,0.051941059827804566,0.3722526454925537
9,0.036025168225169185,0.30718969106674193,0.05332089513540268,0.3764826571941376
10,0.036249733418226245,0.3083445656299591,0.051861238926649095,0.37095587253570556
