epoch,train_loss,train_eval,test_loss,test_eval
1,0.1495104745030403,0.6104174125194549,0.07495280593633652,0.4534128427505493
2,0.05506929308176041,0.3808231711387634,0.050932615399360656,0.36956188201904294
3,0.04740041792392731,0.35504244327545165,0.04540984064340591,0.35494818687438967
4,0.043659096658229826,0.3404971075057983,0.045388322323560715,0.3539010787010193
5,0.04338513076305389,0.3401894855499268,0.04579905316233635,0.3548058319091797
6,0.04166296809911728,0.33356550574302674,0.04640452429652214,0.35667565584182737
7,0.04181885257363319,0.3344597387313843,0.04691335409879684,0.35734487414360044
8,0.04044536277651787,0.32633248090744016,0.04800503820180893,0.360135098695755
9,0.03961842775344849,0.32482162833213807,0.04844366416335106,0.3618166673183441
10,0.03950423374772072,0.3216986608505249,0.048493914008140564,0.36196862936019897
